# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Jul 27 09:27:49 2018
#
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i)[Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i)Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i)Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i)Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
#
loc_rowid,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim
35,1.930000,0.010000,-0.010000,0,2.46000,0.14000,-0.14000,0,4792.00,100.00,-100.00,0,2.30,0.10,-0.10,0
36,0.480000,0.010000,-0.010000,0,7.62000,0.34000,-0.34000,0,5531.00,11.00,-11.00,0,1.84,0.03,-0.03,0
37,2.100000,,,0,3.00000,,,0,4846.00,18.00,-18.00,0,10.50,1.00,-1.00,0
38,0.490000,0.020000,-0.020000,0,1.31000,0.16000,-0.16000,0,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0
39,2.500000,,,0,5.30000,,,0,4785.00,25.00,-25.00,0,11.00,2.00,-1.00,0
40,0.700000,,,0,3.20000,,,0,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0
41,260.000000,,,0,13.50000,0.50000,-0.50000,0,,,,,,,,
42,1.300000,0.100000,-0.100000,0,6.40000,1.30000,-1.30000,0,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0
43,0.780000,0.050000,-0.050000,0,1.04000,0.47000,-0.47000,0,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0
44,0.576000,0.027000,-0.027000,0,1.06100,0.27000,-0.27000,0,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0
45,0.539000,,,0,1.11000,,,0,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0
46,1.050000,0.070000,-0.070000,0,55.59000,78.55000,-78.55000,0,4259.00,64.00,-64.00,0,71.02,73.63,-73.63,0
47,2.010000,,,0,12.47000,,,0,4259.00,64.00,-64.00,0,71.02,73.63,-73.63,0
48,1.300000,,,0,4.20000,,,0,4296.00,10.00,-10.00,0,17.30,0.90,-0.90,0
49,,,,0,0.07000,0.03000,-0.03000,0,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0
50,1.000000,,,0,0.91000,,,0,4414.00,15.00,-15.00,0,11.00,1.00,-1.00,0
51,1.700000,0.100000,-0.100000,0,1.70000,0.70000,-0.70000,0,4534.00,8.00,-8.00,0,10.33,1.81,-1.81,0
52,4.200000,0.320000,-0.200000,0,1.60000,0.40000,-0.20000,0,4943.00,30.00,-30.00,0,7.60,1.30,-1.30,0
53,0.042800,0.000700,-0.000700,0,0.02700,0.00400,-0.00400,0,4324.00,100.00,-100.00,0,,,,
54,0.435000,0.007000,-0.007000,0,0.17000,0.03000,-0.03000,0,4324.00,100.00,-100.00,0,,,,
55,0.060000,0.000000,0.000000,0,0.04000,0.01000,-0.01000,0,4816.00,114.00,-114.00,0,0.71,0.04,-0.04,0
56,0.680000,0.020000,-0.020000,0,0.33000,0.03000,-0.03000,0,4816.00,114.00,-114.00,0,0.71,0.04,-0.04,0
57,0.040000,0.000000,0.000000,0,0.59000,0.07000,-0.07000,0,5393.00,44.00,-44.00,0,0.91,0.04,-0.04,0
58,2.280000,0.070000,-0.070000,0,0.53000,0.05000,-0.05000,0,4475.00,100.00,-100.00,0,0.52,0.02,-0.02,0
59,1.660000,0.120000,-0.120000,0,9.78000,4.56000,-4.56000,0,4545.00,71.00,-71.00,0,19.17,4.96,-4.96,0
60,1.340000,0.020000,-0.020000,0,2.85000,1.16000,-1.16000,0,4665.00,120.00,-120.00,0,0.74,0.04,-0.04,0
61,2.600000,0.300000,-0.300000,0,10.50000,4.50000,-4.50000,0,580.50,24.50,-24.50,0,,,,
62,210.000000,,,0,12.56900,8.37900,-5.23700,0,,,,,,,,
63,440.000000,,,0,17.00000,6.00000,-6.00000,0,,,,,,,,
64,,,,,1.03000,0.12000,-0.12000,0,5950.00,150.00,-150.00,0,1.11,0.05,-0.05,0
65,0.105500,0.002100,-0.002100,0,2.75000,0.16000,-0.16000,0,5075.00,75.00,-75.00,0,0.79,0.05,-0.05,0
66,0.043600,0.005000,-0.005000,0,2.33000,0.34000,-0.34000,0,6440.00,120.00,-120.00,0,1.37,0.03,-0.03,0
67,0.040160,0.000930,-0.000920,0,0.91700,0.07000,-0.06500,0,5675.00,80.00,-80.00,0,1.12,0.10,-0.09,0
68,0.051000,0.003100,-0.003100,0,1.30800,0.06600,-0.06600,0,5945.00,90.00,-90.00,0,1.01,0.03,-0.03,0
69,0.027000,0.002000,-0.002000,0,7.60000,0.60000,-0.60000,0,6035.00,100.00,-100.00,0,1.21,0.08,-0.08,0
70,0.061800,0.001500,-0.001500,0,0.53500,0.08500,-0.08300,0,5650.00,100.00,-100.00,0,1.19,0.14,-0.13,0
71,0.046100,0.000800,-0.000800,0,2.43000,0.30000,-0.30000,0,5740.00,80.00,-80.00,0,1.59,0.07,-0.07,0
72,0.029500,0.001600,-0.001600,0,3.47000,0.38000,-0.38000,0,5440.00,100.00,-100.00,0,1.00,0.13,-0.13,0
73,0.051800,0.000800,-0.000800,0,1.11000,0.06000,-0.06000,0,6090.00,70.00,-70.00,0,1.65,0.04,-0.04,0
74,0.027980,0.000760,-0.000800,0,3.47000,0.22000,-0.22000,0,5625.00,120.00,-120.00,0,0.91,0.03,-0.03,0
75,0.090000,0.002000,-0.002000,0,4.30000,0.20000,-0.20000,0,,,,0,,,,0
76,2.900000,0.070000,-0.070000,0,17.00000,1.00000,-1.00000,0,,,,0,,,,0
77,0.092000,0.001400,-0.001400,0,0.03800,0.04400,-0.02800,0,5939.00,54.00,-120.00,0,1.14,0.04,-0.09,0
78,0.048000,0.004000,-0.004000,0,2.80000,0.30000,-0.30000,0,5900.00,100.00,-100.00,0,1.61,0.18,-0.18,0
79,0.056000,0.002000,-0.002000,0,0.01800,,,1,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0
80,0.098000,0.003000,-0.003000,0,0.08800,0.03500,-0.03500,0,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0
81,0.057800,0.002000,-0.000900,0,0.27000,0.04000,-0.04000,0,6040.00,90.00,-90.00,0,1.19,0.14,-0.03,0
82,0.052600,0.001000,-0.001000,0,0.52000,0.05000,-0.05000,0,5590.00,100.00,-100.00,0,1.79,0.18,-0.09,0
83,0.047600,0.006600,-0.006600,0,10.39000,0.55000,-0.55000,0,5900.00,120.00,-120.00,0,1.08,0.18,-0.06,0
84,0.060300,0.005000,-0.005000,0,0.48400,0.08700,-0.08700,0,5150.00,100.00,-100.00,0,1.78,0.11,-0.11,0
85,0.038600,0.005900,-0.005900,0,0.85000,0.20000,-0.20000,0,5260.00,100.00,-100.00,0,0.90,0.12,-0.12,0
86,,,,,21.66000,1.00000,-1.00000,0,6740.00,140.00,-140.00,0,1.56,0.09,-0.09,0
87,0.090000,0.001000,-0.001000,0,0.72000,0.08000,-0.08000,0,6190.00,60.00,-60.00,0,1.17,0.01,-0.03,0
88,0.049470,0.000260,-0.000290,0,0.46700,0.04700,-0.02400,0,6100.00,65.00,-65.00,0,1.19,0.04,-0.04,0
89,0.085500,0.001500,-0.001500,0,2.96000,0.34000,-0.34000,0,6090.00,70.00,-70.00,0,1.02,0.03,-0.03,0
90,,,,0,0.01000,0.00000,0.00000,0,5275.00,75.00,-75.00,0,0.83,0.04,-0.04,0
91,0.046000,,,0,0.02643,0.00283,-0.00283,0,5275.00,75.00,-75.00,0,0.83,0.04,-0.04,0
92,0.063000,0.001000,-0.001000,0,0.22000,0.03000,-0.03000,0,5080.00,80.00,-80.00,0,0.77,0.02,-0.02,0
93,0.402100,0.005400,-0.005400,0,0.84000,0.05000,-0.05000,0,5625.00,80.00,-80.00,0,0.96,0.06,-0.06,0
94,0.071000,0.001000,-0.001000,0,0.15000,0.10000,-0.10000,0,5970.00,100.00,-100.00,0,0.79,0.08,-0.09,0
95,0.360000,0.010000,-0.010000,0,28.50000,1.90000,-1.90000,0,,,,,,,,
96,330.000000,,,0,11.00000,10.00000,-3.00000,0,,,,,0.27,0.07,-0.07,0
97,8.190000,0.390000,-0.390000,0,6.05000,0.47000,-0.58000,0,,,,,,,,
98,0.131000,0.004000,-0.005000,0,,,,0,4148.21,82.41,-80.21,0,0.57,0.03,-0.03,0
99,0.148000,0.004000,-0.004000,0,0.08495,0.04405,-0.03964,0,6025.00,100.00,-100.00,0,1.38,0.02,-0.02,0
100,800.000000,,,0,16.00000,,,0,2838.00,,,0,,,,
101,160.000000,33.000000,-79.000000,0,,,,,,,,0,,,,0
102,0.015300,0.000500,-0.000500,0,0.00522,0.00072,-0.00072,0,3270.00,140.00,-140.00,0,0.21,0.01,-0.01,0
103,0.047600,0.001700,-0.001700,0,0.00831,0.00138,-0.00138,0,3270.00,140.00,-140.00,0,0.21,0.01,-0.01,0
104,0.166000,0.001000,-0.001000,0,0.30425,0.00444,-0.00321,0,3264.00,,,0,0.40,,,0
105,0.912000,0.005000,-0.002000,0,0.21414,0.01545,-0.00689,0,3264.00,,,0,0.40,,,0
106,0.014110,0.000320,-0.000320,0,0.01970,0.00270,-0.00270,0,3026.00,150.00,-150.00,0,0.22,0.01,-0.01,0
107,0.060700,0.000010,-0.000010,0,0.03335,0.00189,-0.00189,0,3500.00,100.00,-100.00,0,,,,
108,0.125400,0.000100,-0.000100,0,0.02140,0.00283,-0.00283,0,3500.00,100.00,-100.00,0,,,,
109,1.030400,0.008600,-0.008600,0,0.09250,0.00912,-0.00912,0,3500.00,100.00,-100.00,0,,,,
110,2.410000,0.040000,-0.040000,0,0.82000,0.07000,-0.07000,0,3370.00,100.00,-100.00,0,0.38,0.02,-0.02,0
111,0.091101,0.000019,-0.000017,0,0.00909,0.00085,-0.00082,0,3382.00,49.00,-49.00,0,0.29,0.03,-0.03,0
112,0.036467,0.000002,-0.000002,0,0.00371,0.00050,-0.00050,0,3382.00,49.00,-49.00,0,0.29,0.03,-0.03,0
113,0.490000,,,0,3.37000,0.09000,-0.09000,0,5540.00,75.00,-75.00,0,0.90,,,0
114,0.019700,0.000500,-0.000500,0,0.00560,0.00107,-0.00104,0,3717.00,49.00,-49.00,0,0.50,0.03,-0.03,0
115,0.057000,0.001000,-0.001000,0,0.01315,0.00192,-0.00186,0,3717.00,49.00,-49.00,0,0.50,0.03,-0.03,0
116,0.698000,0.018000,-0.019000,0,0.03304,0.00724,-0.00661,0,3717.00,49.00,-49.00,0,0.50,0.03,-0.03,0
117,1.150000,0.050000,-0.050000,0,2.50000,0.70000,-0.40000,0,3510.00,50.00,-50.00,0,,,,
118,4.500000,0.200000,-0.200000,0,2.30000,0.13000,-0.13000,0,3900.00,100.00,-100.00,0,,,,
119,0.143390,0.000030,-0.000030,0,0.07406,0.00277,-0.00280,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0
120,0.361750,0.000480,-0.000470,0,0.06636,0.00390,-0.00396,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0
121,0.193940,0.000170,-0.000180,0,0.02391,0.00330,-0.00330,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0
122,0.082080,0.000030,-0.000040,0,0.01032,0.00201,-0.00201,0,3466.00,49.00,-49.00,0,0.40,0.03,-0.03,0
123,0.032820,0.000540,-0.000560,0,0.00636,0.00082,-0.00079,0,3159.00,49.00,-49.00,0,0.12,0.03,-0.03,0
124,0.126400,0.002100,-0.002200,0,0.00727,0.00157,-0.00154,0,3159.00,49.00,-49.00,0,0.12,0.03,-0.03,0
125,0.089000,,,0,0.02080,0.00030,-0.00030,0,3526.00,49.00,-49.00,0,0.44,0.03,-0.03,0
126,0.031000,0.002800,-0.002800,0,0.04300,0.00500,-0.00500,0,3652.00,50.00,-50.00,0,0.48,0.04,-0.04,0
127,0.028700,0.001000,-0.001100,0,0.02600,0.01300,-0.00500,0,,,,,0.43,0.03,-0.03,0
128,0.060800,0.006800,-0.006800,0,0.02246,0.00186,-0.00186,0,3867.00,69.00,-69.00,0,0.61,0.06,-0.06,0
129,0.029000,0.001000,-0.001000,0,0.00777,0.00085,-0.00085,0,3722.00,68.00,-68.00,0,0.49,0.05,-0.05,0
130,0.089000,0.003000,-0.003000,0,0.01970,0.00249,-0.00239,0,3722.00,68.00,-68.00,0,0.49,0.05,-0.05,0
131,0.060000,0.000000,0.000000,0,0.02000,0.01000,-0.01000,0,3461.00,150.00,-150.00,0,0.50,0.04,-0.04,0
132,0.029100,0.001500,-0.001500,0,0.07000,0.00700,-0.00700,0,,,,,0.46,0.02,-0.02,0
133,43.500000,,,0,4.00000,4.50000,-1.00000,0,6234.00,25.00,-25.00,0,,,,
134,0.066610,0.000011,-0.000013,0,0.01686,0.00217,-0.00195,0,3685.00,68.00,-68.00,0,0.50,0.05,-0.05,0
135,0.040610,0.000030,-0.000030,0,0.04970,0.00090,-0.00090,0,,,,,0.29,,,0
136,0.072100,0.000300,-0.000300,0,0.01730,0.00090,-0.00090,0,,,,,0.29,,,0
137,0.028150,0.000060,-0.000060,0,0.00530,0.00060,-0.00060,0,,,,,0.29,,,0
138,0.078361,0.000044,-0.000046,0,0.00887,0.00160,-0.00160,0,3499.00,68.00,-68.00,0,0.31,0.06,-0.06,0
139,1.135000,0.035000,-0.035000,0,0.32800,0.03200,-0.03200,0,3700.00,60.00,-60.00,0,,,,
140,0.050500,0.004400,-0.005300,0,0.01800,0.00400,-0.00400,0,3350.00,50.00,-50.00,0,,,,
141,0.125000,0.012000,-0.013000,0,0.01200,0.00500,-0.00400,0,3350.00,50.00,-50.00,0,,,,
142,0.213000,0.019000,-0.022000,0,0.00800,0.00500,-0.00400,0,3350.00,50.00,-50.00,0,,,,
143,0.156000,0.014000,-0.017000,0,0.00800,0.00400,-0.00400,0,3350.00,50.00,-50.00,0,,,,
144,0.549000,0.052000,-0.058000,0,0.01400,0.00800,-0.00700,0,3350.00,50.00,-50.00,0,,,,
145,0.039000,,,0,0.03500,,,0,3600.00,100.00,-100.00,0,,,,
146,1.820000,0.060000,-0.060000,0,4.96000,0.96000,-0.96000,0,3734.00,181.00,-181.00,0,0.69,0.07,-0.07,0
147,6.600000,0.100000,-0.100000,0,6.80000,0.10000,-0.10000,0,3734.00,181.00,-181.00,0,0.69,0.07,-0.07,0
148,,,,,0.01400,0.00100,-0.00100,0,3734.00,181.00,-181.00,0,0.69,0.07,-0.07,0
149,,,,,0.02500,0.00200,-0.00200,0,3734.00,181.00,-181.00,0,0.69,0.07,-0.07,0
150,0.170000,0.010000,-0.010000,0,0.06000,0.01000,-0.01000,0,3340.00,97.00,-97.00,0,0.43,0.03,-0.03,0
151,3.560000,0.280000,-0.280000,0,0.68000,0.09000,-0.09000,0,3472.00,,,0,,,,
152,0.163000,0.006000,-0.006000,0,0.01700,0.00300,-0.00300,0,3472.00,,,0,,,,
153,2.350000,0.220000,-0.220000,0,1.00000,0.31000,-0.31000,0,3241.00,150.00,-150.00,0,0.53,0.05,-0.05,0
154,0.110000,0.000000,0.000000,0,4.42000,0.20000,-0.20000,0,5182.00,11.00,-11.00,0,0.77,0.01,-0.01,0
155,0.208317,0.000020,-0.000020,0,2.27560,0.00450,-0.00450,0,,,,0,0.30,,,0
156,0.129590,0.000024,-0.000024,0,0.71420,0.00390,-0.00390,0,,,,0,0.30,,,0
157,0.020807,0.000000,0.000000,0,0.02100,0.00100,-0.00100,0,,,,0,0.30,,,0
158,0.334300,0.001300,-0.001300,0,0.04600,0.00500,-0.00500,0,,,,0,0.30,,,0
159,0.018880,0.000300,-0.000310,0,0.01076,0.00378,-0.00239,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0
160,0.039420,0.000620,-0.000640,0,0.00761,0.00236,-0.00154,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0
161,0.056150,0.000890,-0.000910,0,0.01636,0.00566,-0.00378,0,4269.00,98.00,-99.00,0,0.61,0.03,-0.03,0
162,100.000000,,,0,20.00000,,,0,,,,,,,,
163,320.000000,30.000000,-30.000000,0,16.00000,1.00000,-1.00000,0,4200.00,150.00,-150.00,0,,,,
164,2000.000000,200.000000,-200.000000,0,11.30000,1.70000,-1.70000,0,,,,,,,,
165,0.055610,0.000820,-0.000830,0,0.52500,0.01900,-0.01900,0,5980.00,49.00,-49.00,0,1.17,0.03,-0.03,0
166,0.052540,0.000640,-0.000660,0,0.07362,0.00472,-0.00472,0,4780.00,50.00,-50.00,0,0.68,0.01,-0.01,0
167,4.130000,0.290000,-0.160000,0,1.59519,0.09439,-0.08495,0,4780.00,50.00,-50.00,0,0.68,0.01,-0.01,0
168,0.038400,0.000300,-0.000300,0,0.21100,0.01200,-0.01200,0,4650.00,60.00,-60.00,0,0.70,0.02,-0.01,0
169,,,,,0.85100,0.03800,-0.03800,0,5653.00,90.00,-90.00,0,1.56,0.08,-0.08,0
170,,,,,14.28000,0.28000,-0.28000,0,5653.00,90.00,-90.00,0,1.56,0.08,-0.08,0
171,,,,0,3.44000,0.63000,-0.63000,0,6600.00,90.00,-90.00,0,1.82,0.15,-0.15,0
172,,,,0,1.94000,0.30000,-0.30000,0,5568.00,90.00,-90.00,0,1.07,0.07,-0.07,0
173,0.041300,0.000400,-0.000400,0,4.19300,0.09400,-0.09400,0,6158.00,80.00,-80.00,0,1.24,0.05,-0.05,0
174,,,,0,0.58000,0.06000,-0.06000,0,5246.00,80.00,-80.00,0,0.87,0.04,-0.04,0
175,5.600000,3.500000,-1.400000,0,3.40000,1.10000,-0.70000,0,5246.00,80.00,-80.00,0,0.87,0.04,-0.04,0
176,0.055900,0.000700,-0.000700,0,0.19700,0.01300,-0.01300,0,4803.00,80.00,-80.00,0,0.75,0.04,-0.04,0
177,0.046600,0.000800,-0.000800,0,0.29200,0.01800,-0.01800,0,4990.00,130.00,-130.00,0,0.82,0.05,-0.05,0
178,,,,0,11.43000,1.94000,-1.94000,0,6412.00,1.00,-1.00,0,1.71,0.06,-0.06,0
179,0.036100,0.000500,-0.000500,0,7.24600,0.18700,-0.18700,0,4595.00,80.00,-80.00,0,0.69,0.02,-0.02,0
180,,,,0,4.87000,1.57000,-1.57000,0,5588.00,80.00,-80.00,0,1.21,0.17,-0.17,0
181,,,,0,2.47000,0.32000,-0.32000,0,5302.00,80.00,-80.00,0,1.11,0.05,-0.05,0
182,,,,0,1.34000,0.59000,-0.59000,0,5905.00,80.00,-80.00,0,0.96,0.20,-0.20,0
183,,,,0,0.75000,0.25000,-0.25000,0,6373.00,80.00,-80.00,0,1.38,0.22,-0.22,0
184,0.046600,0.000500,-0.000500,0,0.56700,0.02200,-0.02200,0,5500.00,80.00,-80.00,0,0.96,0.05,-0.04,0
185,,,,0,0.07000,0.02000,-0.02000,0,5079.00,88.00,-88.00,0,0.87,0.05,-0.05,0
186,0.040000,0.000800,-0.000800,0,0.62000,0.03000,-0.03000,0,5300.00,90.00,-90.00,0,0.90,0.05,-0.04,0
187,0.043400,0.000700,-0.000700,0,0.62600,0.03700,-0.03700,0,5680.00,90.00,-90.00,0,1.10,0.09,-0.07,0
188,,,,0,0.88000,0.25000,-0.25000,0,6087.00,88.00,-88.00,0,1.30,0.14,-0.14,0
189,,,,0,0.65000,0.11000,-0.11000,0,5185.00,80.00,-80.00,0,0.87,0.06,-0.06,0
190,,,,0,0.83000,0.18000,-0.18000,0,6304.00,88.00,-88.00,0,1.31,0.13,-0.13,0
191,,,,0,2.27000,0.84000,-0.84000,0,6065.00,100.00,-100.00,0,1.39,0.11,-0.11,0
192,,,,0,0.83000,0.21000,-0.21000,0,6207.00,88.00,-88.00,0,1.19,0.10,-0.10,0
193,,,,0,0.92000,0.50000,-0.50000,0,6446.00,88.00,-88.00,0,1.79,0.48,-0.48,0
194,,,,0,7.01000,2.75000,-2.75000,0,6442.00,88.00,-88.00,0,1.73,0.29,-0.29,0
195,,,,0,7.52000,20.66000,-20.66000,0,6096.00,88.00,-88.00,0,3.82,5.25,-5.25,0
196,,,,0,1.53000,0.32000,-0.32000,0,5560.00,100.00,-100.00,0,1.00,0.09,-0.09,0
197,0.037900,0.000600,-0.000600,0,1.16900,0.10300,-0.10300,0,5500.00,100.00,,0,0.88,0.06,,0
198,0.052300,0.000900,-0.000900,0,0.26700,0.02000,-0.02000,0,5330.00,100.00,,0,0.92,0.10,,0
199,0.050900,0.000600,-0.000600,0,0.59900,0.09900,-0.09900,0,6430.00,100.00,,0,1.62,0.08,,0
200,0.044380,0.000810,-0.001500,0,0.67100,0.03300,-0.04400,0,5860.00,80.00,,0,,,,
201,,,,0,0.48000,0.13000,-0.13000,0,6080.00,100.00,-100.00,0,1.94,0.22,-0.22,0
202,,,,0,1.19000,0.60000,-0.60000,0,6390.00,100.00,-100.00,0,2.05,0.50,-0.50,0
203,0.057500,0.001100,-0.001100,0,1.04400,0.08300,-0.08300,0,5743.00,50.00,-50.00,0,1.53,0.14,-0.14,0
